parameter_alpha,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
0.4,0,79,100000,100000,176,125,390,378,0.5,0.5714285714285714,0.4819277108433735
0.4,0,80,100000,100000,28,282,391,376,0.5,0.5609756097560976,0.5452380952380952
0.4,0,81,100000,100000,174,371,344,352,0.5,0.44715447154471544,0.4856396866840731
0.4,0,82,100000,100000,229,245,368,370,0.5,0.48253968253968255,0.4975
0.4,0,83,100000,100000,147,49,352,357,0.5,0.47540983606557374,0.5150753768844221
0.4,0,84,100000,100000,164,175,369,365,0.5,0.5305164319248826,0.5355329949238579
0.4,0,85,100000,100000,55,67,380,377,0.5,0.5147058823529411,0.4950980392156863
0.4,0,86,100000,100000,211,39,377,375,0.5,0.46551724137931033,0.5203836930455635
0.4,0,87,100000,100000,176,193,357,356,0.5,0.5515695067264574,0.5091383812010444
0.4,0,88,100000,100000,275,165,360,365,0.5,0.5069767441860465,0.49624060150375937
0.4,0,89,100000,100000,207,232,354,364,0.5,0.582089552238806,0.5743589743589743
0.4,0,90,100000,100000,308,95,350,349,0.5,0.5701754385964912,0.5274151436031331
0.4,0,91,100000,100000,66,271,360,380,0.5,0.5384615384615384,0.5144230769230769
0.4,0,92,100000,100000,61,155,379,362,0.5,0.5945945945945946,0.4813895781637717
0.4,0,93,100000,100000,133,221,355,356,0.5,0.4891304347826087,0.4857142857142857
0.4,0,94,100000,100000,119,20,378,382,0.5,0.2962962962962963,0.46973365617433416
0.4,0,95,100000,100000,346,112,366,357,0.5,0.47435897435897434,0.5
0.4,0,96,100000,100000,257,225,364,359,0.5,0.5342465753424658,0.5345268542199488
0.4,0,97,100000,100000,230,142,390,374,0.5,0.47804878048780486,0.5130641330166271
0.4,0,98,100000,100000,305,156,380,394,0.5,0.48292682926829267,0.5105386416861827
0.4,0,99,100000,100000,48,31,382,363,0.5,0.5116279069767442,0.5171568627450981
0.4,1,0,100000,100000,112,37,377,393,0.5,0.4888888888888889,0.5011764705882353
0.4,1,1,100000,100000,184,108,362,362,0.5,0.43537414965986393,0.4855072463768116
0.4,1,2,100000,100000,393,141,364,366,0.5,0.48677248677248675,0.4881516587677725
0.4,1,3,100000,100000,153,72,359,378,0.5,0.46153846153846156,0.49257425742574257
0.4,1,4,100000,100000,143,114,383,386,0.5,0.5586206896551724,0.5253012048192771
0.4,1,5,100000,100000,82,118,374,368,0.5,0.43243243243243246,0.49014778325123154
0.4,1,6,100000,100000,244,106,365,367,0.5,0.5338345864661654,0.4752475247524752
0.4,1,7,100000,100000,122,232,373,381,0.5,0.5031446540880503,0.5211267605633803
0.4,1,8,100000,100000,240,67,390,367,0.5,0.5280898876404494,0.509478672985782
0.4,1,9,100000,100000,159,97,367,373,0.5,0.5447154471544715,0.505
0.4,1,10,100000,100000,442,178,379,388,0.5,0.4978723404255319,0.49643705463182897
0.4,1,11,100000,100000,222,33,365,367,0.5,0.4594594594594595,0.4634146341463415
0.4,1,12,100000,100000,272,86,376,391,0.5,0.5092592592592593,0.5047619047619047
0.4,1,13,100000,100000,158,145,370,367,0.5,0.526595744680851,0.5251256281407035
0.4,1,14,100000,100000,107,149,380,381,0.5,0.5310344827586206,0.5096153846153846
0.4,1,15,100000,100000,71,189,339,356,0.5,0.5473684210526316,0.4925373134328358
0.4,1,16,100000,100000,344,134,376,372,0.5,0.45161290322580644,0.4867469879518072
0.4,1,17,100000,100000,155,231,359,364,0.5,0.4697674418604651,0.47341772151898737
0.4,1,18,100000,100000,167,148,348,352,0.5,0.531578947368421,0.52
0.4,1,19,100000,100000,343,155,380,377,0.5,0.5339805825242718,0.5147783251231527
0.4,1,20,100000,100000,121,196,371,375,0.5,0.48520710059171596,0.4852216748768473
0.4,1,21,100000,100000,135,218,366,368,0.5,0.4530386740331492,0.5012406947890818
0.4,1,22,100000,100000,62,72,376,364,0.5,0.49333333333333335,0.518796992481203
0.4,1,23,100000,100000,483,137,357,372,0.5,0.47191011235955055,0.47277227722772275
0.4,1,24,100000,100000,116,441,352,358,0.5,0.5306122448979592,0.5186104218362283
0.4,1,25,100000,100000,162,50,360,375,0.5,0.5555555555555556,0.46904761904761905
0.4,1,26,100000,100000,306,11,364,374,0.5,0.35,0.4963325183374083
0.4,1,27,100000,100000,219,198,360,382,0.5,0.5409836065573771,0.5110565110565111
0.4,1,28,100000,100000,58,74,375,366,0.5,0.47368421052631576,0.49874686716791977
0.4,1,29,100000,100000,22,54,358,376,0.5,0.6129032258064516,0.48743718592964824
0.4,1,30,100000,100000,63,163,384,369,0.5,0.5569620253164557,0.5230024213075061
0.4,1,31,100000,100000,209,120,400,383,0.5,0.5408805031446541,0.4942263279445728
0.4,1,32,100000,100000,225,256,371,369,0.5,0.5243055555555556,0.52
0.4,1,33,100000,100000,67,182,370,373,0.5,0.5113636363636364,0.5145631067961165
0.4,1,34,100000,100000,177,319,371,374,0.5,0.5367965367965368,0.5322195704057279
0.4,1,35,100000,100000,188,221,355,378,0.5,0.5447470817120622,0.5481481481481482
0.4,1,36,100000,100000,160,100,394,381,0.5,0.46938775510204084,0.4918032786885246
0.4,1,37,100000,100000,31,112,367,373,0.5,0.5,0.49875311720698257
0.4,1,38,100000,100000,348,160,371,365,0.5,0.47058823529411764,0.525
0.4,1,39,100000,100000,210,146,378,372,0.5,0.5097087378640777,0.4733009708737864
0.4,1,40,100000,100000,178,230,393,374,0.5,0.5112107623318386,0.48705882352941177
0.4,1,41,100000,100000,281,174,363,373,0.5,0.5324074074074074,0.5012594458438288
0.4,1,42,100000,100000,174,383,354,369,0.5,0.48148148148148145,0.48872180451127817
0.4,1,43,100000,100000,168,66,366,374,0.5,0.45977011494252873,0.4951219512195122
0.4,1,44,100000,100000,64,173,354,364,0.5,0.5487804878048781,0.5369458128078818
0.4,1,45,100000,100000,145,127,390,373,0.5,0.4860335195530726,0.4528301886792453
0.4,1,46,100000,100000,178,113,376,393,0.5,0.5323741007194245,0.49528301886792453
0.4,1,47,100000,100000,210,167,335,363,0.5,0.4807692307692308,0.49873417721518987
0.4,1,48,100000,100000,119,59,352,358,0.5,0.43661971830985913,0.44472361809045224
0.4,1,49,100000,100000,227,29,376,375,0.5,0.5365853658536586,0.4843373493975904
0.4,1,50,100000,100000,100,227,373,381,0.5,0.46808510638297873,0.49643705463182897
0.4,1,51,100000,100000,269,218,398,404,0.5,0.5159010600706714,0.5319634703196348
0.4,1,52,100000,100000,200,66,370,371,0.5,0.5795454545454546,0.48877805486284287
0.4,1,53,100000,100000,179,407,378,375,0.5,0.521551724137931,0.5156626506024097
0.4,1,54,100000,100000,392,152,378,380,0.5,0.48514851485148514,0.4821002386634845
0.4,1,55,100000,100000,80,20,346,376,0.5,0.6818181818181818,0.4768856447688564
0.4,1,56,100000,100000,228,344,373,361,0.5,0.5360824742268041,0.5175879396984925
0.4,1,57,100000,100000,184,64,378,363,0.5,0.5494505494505495,0.5074257425742574
0.4,1,58,100000,100000,234,516,398,398,0.5,0.47249190938511326,0.4852607709750567
