parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,2,62,100000,100000,558,603,792,795,0.5,0.4925575101488498,0.5127582017010935
70,2,63,100000,100000,567,536,806,805,0.5,0.5244072524407253,0.5234093637454982
70,2,64,100000,100000,586,589,789,795,0.5,0.48223350253807107,0.4703030303030303
70,2,65,100000,100000,584,565,795,799,0.5,0.4708171206225681,0.49038461538461536
70,2,66,100000,100000,553,573,796,803,0.5,0.5,0.5162846803377563
70,2,67,100000,100000,537,606,795,799,0.5,0.470189701897019,0.5084745762711864
70,2,68,100000,100000,550,587,787,802,0.5,0.5060240963855421,0.5
70,2,69,100000,100000,585,571,814,816,0.5,0.5151116951379764,0.5432692307692307
70,2,70,100000,100000,575,606,794,796,0.5,0.47881899871630296,0.5258724428399518
70,2,71,100000,100000,587,577,807,792,0.5,0.5099075297225891,0.517406962785114
70,2,72,100000,100000,589,568,809,801,0.5,0.48728246318607765,0.5101070154577884
70,2,73,100000,100000,568,532,797,811,0.5,0.49570200573065903,0.4803804994054697
70,2,74,100000,100000,574,576,809,810,0.5,0.5274431057563588,0.5077658303464755
70,2,75,100000,100000,573,569,796,798,0.5,0.4891304347826087,0.4795673076923077
70,2,76,100000,100000,584,568,802,796,0.5,0.5086551264980027,0.5096852300242131
70,2,77,100000,100000,576,583,800,794,0.5,0.47774869109947643,0.5181159420289855
70,2,78,100000,100000,546,562,807,807,0.5,0.5450581395348837,0.4934445768772348
70,2,79,100000,100000,586,587,800,810,0.5,0.5168393782383419,0.5337349397590362
70,2,80,100000,100000,574,617,792,791,0.5,0.4948453608247423,0.5079365079365079
70,2,81,100000,100000,597,574,786,792,0.5,0.5080213903743316,0.48477466504263095
70,2,82,100000,100000,547,586,811,814,0.5,0.5305555555555556,0.4982164090368609
70,2,83,100000,100000,544,556,815,806,0.5,0.4945054945054945,0.5083732057416268
70,2,84,100000,100000,580,570,787,790,0.5,0.5227272727272727,0.5085365853658537
70,2,85,100000,100000,610,555,792,793,0.5,0.49733333333333335,0.49878048780487805
70,2,86,100000,100000,585,581,790,787,0.5,0.4948051948051948,0.51278928136419
70,2,87,100000,100000,581,541,797,785,0.5,0.5020746887966805,0.4854014598540146
70,2,88,100000,100000,589,587,781,792,0.5,0.4668335419274093,0.4736196319018405
70,2,89,100000,100000,617,563,806,792,0.5,0.4800514800514801,0.4866504854368932
70,2,90,100000,100000,556,599,810,804,0.5,0.5340751043115438,0.5048076923076923
70,2,91,100000,100000,574,580,792,802,0.5,0.500651890482399,0.5090470446320868
70,2,92,100000,100000,603,593,799,799,0.5,0.493573264781491,0.5102040816326531
70,2,93,100000,100000,583,580,820,815,0.5,0.5091623036649214,0.5059523809523809
70,2,94,100000,100000,560,595,794,798,0.5,0.4909560723514212,0.4782608695652174
70,2,95,100000,100000,577,589,806,798,0.5,0.503957783641161,0.5078031212484994
70,2,96,100000,100000,579,595,792,795,0.5,0.49742268041237114,0.47836538461538464
70,2,97,100000,100000,588,599,798,797,0.5,0.4769038701622971,0.5138055222088835
70,2,98,100000,100000,567,592,791,796,0.5,0.5,0.5157384987893463
70,2,99,100000,100000,589,572,799,795,0.5,0.4921259842519685,0.5289855072463768
70,3,0,100000,100000,598,618,797,805,0.5,0.5123537061118335,0.53437876960193
70,3,1,100000,100000,570,540,785,797,0.5,0.48622589531680444,0.5323565323565324
70,3,2,100000,100000,608,567,799,796,0.5,0.5,0.4915254237288136
70,3,3,100000,100000,569,549,818,809,0.5,0.5273972602739726,0.5218417945690673
70,3,4,100000,100000,553,553,786,775,0.5,0.4966078697421981,0.4720496894409938
70,3,5,100000,100000,564,588,793,794,0.5,0.49731182795698925,0.4993924665856622
70,3,6,100000,100000,618,578,801,801,0.5,0.4888888888888889,0.49393203883495146
70,3,7,100000,100000,580,591,793,793,0.5,0.5106382978723404,0.49148418491484186
70,3,8,100000,100000,605,595,790,802,0.5,0.4973958333333333,0.5024271844660194
70,3,9,100000,100000,579,552,794,800,0.5,0.4971590909090909,0.5018181818181818
70,3,10,100000,100000,551,623,799,797,0.5,0.519781718963165,0.48125755743651755
70,3,11,100000,100000,581,571,788,790,0.5,0.4980494148244473,0.5140758873929009
70,3,12,100000,100000,552,581,785,773,0.5,0.4925373134328358,0.5018587360594795
70,3,13,100000,100000,564,585,785,802,0.5,0.5059288537549407,0.5182481751824818
70,3,14,100000,100000,587,562,807,809,0.5,0.4876140808344198,0.49339735894357745
70,3,15,100000,100000,631,561,798,792,0.5,0.4973045822102426,0.5078407720144753
70,3,16,100000,100000,552,579,793,789,0.5,0.4865229110512129,0.5309842041312273
70,3,17,100000,100000,597,577,788,784,0.5,0.469910371318822,0.5129151291512916
70,3,18,100000,100000,547,578,792,803,0.5,0.4897959183673469,0.5240384615384616
70,3,19,100000,100000,570,551,810,794,0.5,0.5130674002751031,0.5203836930455635
70,3,20,100000,100000,571,560,785,795,0.5,0.47651006711409394,0.4779951100244499
70,3,21,100000,100000,557,615,783,784,0.5,0.4861294583883752,0.47102342786683105
70,3,22,100000,100000,566,551,776,782,0.5,0.4691358024691358,0.47174447174447176
70,3,23,100000,100000,574,599,800,799,0.5,0.4863102998696219,0.5296251511487303
70,3,24,100000,100000,574,581,795,784,0.5,0.5060080106809078,0.514041514041514
70,3,25,100000,100000,572,567,784,797,0.5,0.5120967741935484,0.5030450669914738
70,3,26,100000,100000,542,557,805,799,0.5,0.5351506456241033,0.5017921146953405
70,3,27,100000,100000,534,568,820,815,0.5,0.5241477272727273,0.4793388429752066
70,3,28,100000,100000,568,558,783,777,0.5,0.4852150537634409,0.4956521739130435
70,3,29,100000,100000,547,596,797,781,0.5,0.5113960113960114,0.5140758873929009
70,3,30,100000,100000,548,607,792,776,0.5,0.49863387978142076,0.5124069478908189
70,3,31,100000,100000,604,628,790,803,0.5,0.5117139334155364,0.49097472924187724
70,3,32,100000,100000,590,590,794,800,0.5,0.4993548387096774,0.4617253948967193
70,3,33,100000,100000,552,580,780,785,0.5,0.5110192837465565,0.4938118811881188
70,3,34,100000,100000,559,602,803,789,0.5,0.49592391304347827,0.4975845410628019
70,3,35,100000,100000,550,607,788,786,0.5,0.49313186813186816,0.48957055214723927
70,3,36,100000,100000,611,599,789,788,0.5,0.5043914680050188,0.5018450184501845
