parameter_k,pair_id,permute_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,47,42,100000,100000,566,568,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,48,42,100000,100000,595,564,800,802,0.5,0.4932795698924731,0.4844124700239808
70,0,49,42,100000,100000,629,583,800,802,0.5,0.4915693904020752,0.4844124700239808
70,0,50,42,100000,100000,601,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,51,42,100000,100000,567,583,800,802,0.5,0.4921875,0.4844124700239808
70,0,52,42,100000,100000,564,561,800,802,0.5,0.4918918918918919,0.4844124700239808
70,0,53,42,100000,100000,565,593,800,802,0.5,0.4921875,0.4844124700239808
70,0,54,42,100000,100000,539,573,800,802,0.5,0.49182561307901906,0.4844124700239808
70,0,55,42,100000,100000,568,528,800,802,0.5,0.48787446504992865,0.4844124700239808
70,0,56,42,100000,100000,547,582,800,802,0.5,0.4932795698924731,0.4844124700239808
70,0,57,42,100000,100000,551,586,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,58,42,100000,100000,575,580,800,802,0.5,0.4915254237288136,0.4844124700239808
70,0,59,42,100000,100000,576,582,800,802,0.5,0.4915693904020752,0.4844124700239808
70,0,60,42,100000,100000,600,601,800,802,0.5,0.4899497487437186,0.4844124700239808
70,0,61,42,100000,100000,590,623,800,802,0.5,0.49002493765586036,0.4844124700239808
70,0,62,42,100000,100000,585,605,800,802,0.5,0.4899497487437186,0.4844124700239808
70,0,63,42,100000,100000,564,601,800,802,0.5,0.4915254237288136,0.4844124700239808
70,0,64,42,100000,100000,600,592,800,802,0.5,0.4948849104859335,0.4844124700239808
70,0,65,42,100000,100000,573,573,800,802,0.5,0.4900924702774108,0.4844124700239808
70,0,66,42,100000,100000,583,556,800,802,0.5,0.49182561307901906,0.4844124700239808
70,0,67,42,100000,100000,604,607,800,802,0.5,0.49007444168734493,0.4844124700239808
70,0,68,42,100000,100000,579,585,800,802,0.5,0.49224806201550386,0.4844124700239808
70,0,69,42,100000,100000,598,575,800,802,0.5,0.4914361001317523,0.4844124700239808
70,0,70,42,100000,100000,603,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,71,42,100000,100000,589,553,800,802,0.5,0.49175824175824173,0.4844124700239808
70,0,72,42,100000,100000,586,563,800,802,0.5,0.49259757738896365,0.4844124700239808
70,0,73,42,100000,100000,586,598,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,74,42,100000,100000,559,598,800,802,0.5,0.492772667542707,0.4844124700239808
70,0,75,42,100000,100000,582,576,800,802,0.5,0.4921052631578947,0.4844124700239808
70,0,76,42,100000,100000,566,608,800,802,0.5,0.4921875,0.4844124700239808
70,0,77,42,100000,100000,584,591,800,802,0.5,0.4942381562099872,0.4844124700239808
